pdpass,dateIncorporated,fileNumber,assignee1,assignee2,assignee3,assignee4,assignee5
11791637,3/22/93,C1855714,TRUE POSITION MAGNETICS INC,,,,
12295020,,,3461513 CANADA INC,,,,
12856426,,,ITEK INC,,,,
12946480,,,REGENESIS LLC,,,,
10816569,,,ALE SYSTEMS INC,,,,
12396607,8/26/96,2.00E+11,PRAXIS LLC,,,,
12096963,12/21/95,C1955786,CERAMCO INC,,,,
11217451,,,VMXOPCOM,,,,
11101414,,,THOMSON MICROELECTRONICS,,,,
10098545,11/12/68,692313,OPTIVISION INC,,,,
12460177,,,SHENANDOAH ELECTRONIC INTELLIGENCE INC,,,,
13098470,4/4/13,C3558955,BION INC,,,,
11112460,,,INFORMATION STORAGE INC,,,,
11310356,6/13/74,802553,FINA TECHNOLOGY INC,,,,
11543056,,,ZESTOTHERM INC,,,,
11021796,,,GENETICS INSTITUTE INC,,,,
11244689,,,FIBER SENSYS INC,,,,
12651889,12/19/02,3605065,SIGE SEMICONDUCTOR INC,,,,
12617513,6/22/00,3249247,NEO MATRIX LLC,,,,
13178442,7/21/05,4003354,BAYSYSTEMS NORTH AMERICA LLC,,,,
12543907,,,BIOMEDICAL ACOUSTIC RESEARCH INC,,,,
12823736,10/16/00,3302999,THERACOS INC,,,,
11975048,,,CFX COMMUNICATIONS SYSTEMS LLC,,,,
12489463,6/10/99,C2166319,IM NETWORKS INC,,,,
12830023,8/4/86,C1382242,HEMOPET,,,,
11529937,,,CV THERAPEUTICS,,,,
12858165,,,MEDIALORE LLC,,,,
12394362,,,MBX SYSTEMS INC,,,,
11938589,4/17/07,4335915,MO MI LLC,,,,
12944663,11/9/00,3310908,CANDESCENT INTELLECTUAL PROPERTY,,,,
13088900,8/12/65,C0495495,SCIENTIFIC ATLANTA INC,,,,
12821489,,,PHATNOISE INC,,,,
12910067,,,PHOTODIGM INC,,,,
11795473,,,SIMS DELTEC INC,,,,
13156439,12/5/86,C1548281,TATE LYLE INGREDIDENTS AMERICAS INC,,,,
10821524,6/18/84,2037874,PDP ALLOYS INC,,,,
12801764,,,SIEMENS WESTINGHOUSE POWER CORPROATION,,,,
12205016,1/11/99,C2130359,JODFREY ASSOCIATES INC,,,,
