pdpass,invnum_n,"dateincorporated",yearStartup
12643215,38585811,"1998-04-13",1998
11849198,38589481,"1991-11-15",1991
10050407,38621341,"1970-01-06",1970
11866455,38623521,"1996-09-09",1996
12633587,38631162,"2000-06-20",2000
12902459,38631162,"1974-02-01",1974
11031040,38635392,"1982-06-14",1982
12021822,38640071,"1996-07-23",1996
10876860,38644211,"1988-02-16",1988
12291423,38645721,"1997-02-20",1997
10776649,38646071,"1985-04-09",1985
10886474,38648451,"1981-04-30",1981
10837356,38672752,"1987-05-26",1987
12605769,38675562,"1999-05-13",1999
12520048,38683891,"1999-04-14",1999
10750562,38704681,"1984-11-02",1984
10928545,38713602,"1985-02-01",1985
11053540,38713742,"1985-06-26",1985
11166517,38728261,"1989-02-28",1989
11130851,38734692,"1989-03-07",1989
11427231,38736271,"1987-11-18",1987
10838042,38739471,"1984-11-28",1984
11243502,38747052,"1989-03-09",1989
12830079,38748261,"1995-03-31",1995
11757952,38755051,"1995-07-26",1995
10979730,38755261,"1986-08-21",1986
11763645,38769942,"1990-02-13",1990
12638426,38783291,"1999-05-28",1999
11676351,38803111,"1990-09-25",1990
11486968,38808981,"1994-01-18",1994
11894432,38832682,"1996-08-26",1996
12741862,38848851,"1999-04-26",1999
12602621,38848883,"1998-08-05",1998
11187256,38855201,"1982-01-22",1982
12264775,38855201,"1997-04-23",1997
12076152,38855481,"1996-05-02",1996
12350132,38855921,"1997-08-04",1997
11331455,38858702,"1992-07-13",1992
11509479,38858743,"1991-07-10",1991
11116860,38860172,"1988-07-26",1988
11019656,38864535,"1986-12-03",1986
11344277,38868081,"1991-07-19",1991
11222623,38874501,"1990-08-15",1990
11349826,38892321,"1991-04-23",1991
12912395,38892321,"2000-08-29",2000
12816347,38902351,"2002-06-13",2002
11943044,38909561,"1997-05-08",1997
12706792,38910991,"1994-09-19",1994
12595658,38925231,"1999-04-01",1999
12392253,38929742,"1997-03-03",1997
11498241,38964742,"1989-07-27",1989
12201024,38965031,"1998-01-14",1998
12792662,38973922,"2001-02-28",2001
11972747,38979171,"1997-04-24",1997
13108649,38983281,"1997-04-03",1997
11134906,38985642,"1989-06-08",1989
13035948,39005861,"2002-10-31",2002
13187285,39009211,"2001-04-20",2001
11408361,39018081,"1989-04-25",1989
11940233,39031681,"1996-09-26",1996
11301981,39040721,"1992-03-26",1992
